"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"412","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.bottle.of.pills","b. More than one thing",0,0,0,0,1,"FullCont",12,0,1
"413","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"414","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"416","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"420","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"421","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"422","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"423","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"424","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"425","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.crate.of.tangerines","b. More than one thing",0,0,0,0,1,"FullCont",25,0,1
"426","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
